date,index,atm_iv,iv_rank,action,sold_C,sold_P,premium,n_pos,gamma,delta,vega,nav,r
2022-10-31,6292.619,0.293840839029358,95.38461538461539,sell,50,50,1687000.0,3,-4285383.09416754,-3505.8989945682915,-6687843.417835588,100069022.91716622,0.0
2022-11-01,6439.822,0.26001559394134743,71.21212121212122,hold,0,0,0.0,3,-4246428.525042554,-1797.4778509005873,-12335110.587736517,100069022.91716622,0.0
2022-11-02,6524.514,0.24958545663145934,61.19402985074627,hold,0,0,0.0,3,-4046208.414278512,-921.4437711022874,-11981931.779904272,100069022.91716622,0.0
2022-11-03,6566.841,0.253689084721337,69.11764705882352,hold,0,0,0.0,3,-3916003.9867217476,-473.6539716593975,-11618430.376564134,100069022.91716622,0.0
2022-11-04,6709.645,0.23189746029123204,47.82608695652174,hold,0,0,0.0,3,-3102873.0309032956,740.0339911579696,-10723804.672146419,100069022.91716622,0.0
2022-11-07,6713.638,0.25591467208188334,70.0,hold,0,0,0.0,3,-2997832.3923040493,1017.327301604822,-9926273.975354668,100069022.91716622,0.0
2022-11-08,6694.956,0.23771020842987012,49.29577464788733,hold,0,0,0.0,3,-3098030.555541128,988.407746369006,-9737860.935401972,100069022.91716622,0.0
2022-11-09,6676.008,0.24157527050366956,52.77777777777778,hold,0,0,0.0,3,-3207169.2538867453,963.3494880235787,-9536883.1327675,100069022.91716622,0.0
2022-11-10,6603.309,0.23211034911580036,46.57534246575342,hold,0,0,0.0,3,-3914168.4329817872,503.75616679635743,-9568654.5553701,100069022.91716622,0.0
2022-11-11,6643.482,0.2142463715590969,36.486486486486484,hold,0,0,0.0,3,-3378097.0109272795,980.7889777624531,-9061205.509517442,100069022.91716622,0.0
2022-11-14,6599.666,0.2477615844692703,57.333333333333336,hold,0,0,0.0,3,-3385905.973348196,1190.4584891197242,-8160935.06399961,100069022.91716622,0.0
2022-11-15,6752.513,0.20981496249993747,34.21052631578947,hold,0,0,0.0,3,-3553133.475940597,1419.8341827276436,-8532564.590106644,100069022.91716622,0.0
2022-11-16,6702.041,0.2047602606888075,29.87012987012987,hold,0,0,0.0,3,-3501779.2031486356,1338.209431700442,-8374267.952904563,100069022.91716622,0.0
2022-11-17,6714.504,0.2178329996053815,41.02564102564102,hold,0,0,0.0,3,-3517708.2048754394,1353.2915635727413,-8371106.402690919,100069022.91716622,0.0
2022-11-18,6658.401,0.21716101931328316,40.50632911392405,hold,0,0,0.0,1,-685587.0568600099,-3057.813289747715,-7282639.269717821,99504768.44915877,-0.005638652717479986
2022-11-21,6689.325,0.20880203258577434,32.5,hold,0,0,0.0,1,-701090.5342109968,-3023.074447999854,-7259577.066145219,99504768.44915877,0.0
2022-11-22,6583.233,0.2112162359956235,35.80246913580247,hold,0,0,0.0,1,-673949.4842682302,-3193.5589467730656,-6918380.007140996,99504768.44915877,0.0
2022-11-23,6567.993,0.20389917084242154,26.82926829268293,hold,0,0,0.0,1,-671557.143562007,-3222.4190005038226,-6833875.330681625,99504768.44915877,0.0
2022-11-24,6586.858,0.21742464715094761,43.373493975903614,hold,0,0,0.0,1,-679667.8637947141,-3198.149527863671,-6855741.071365949,99504768.44915877,0.0
2022-11-25,6512.162,0.21011617253079984,35.714285714285715,hold,0,0,0.0,1,-657796.1609682895,-3320.0223749961933,-6576405.508453549,99504768.44915877,0.0
2022-11-28,6492.712,0.2290568060047881,49.411764705882355,hold,0,0,0.0,1,-657240.0134863192,-3367.5069056967145,-6394840.563130865,99504768.44915877,0.0
2022-11-29,6594.323,0.22866806294345268,47.674418604651166,hold,0,0,0.0,1,-694045.0006446324,-3212.774510244348,-6690993.577008896,99504768.44915877,0.0
2022-11-30,6590.307,0.21583732770329486,40.229885057471265,hold,0,0,0.0,1,-695222.8541806269,-3224.6424498433325,-6640289.978693398,99504768.44915877,0.0
2022-12-01,6658.427,0.20375011249279465,25.0,hold,0,0,0.0,1,-719332.140913801,-3120.1529934760706,-6806354.393616697,99504768.44915877,0.0
2022-12-02,6680.542,0.19221308239652946,16.853932584269664,hold,0,0,0.0,1,-728786.2976353515,-3089.2544841153963,-6830755.255168304,99504768.44915877,0.0
2022-12-05,6714.367,0.2089068533707252,33.33333333333333,hold,0,0,0.0,1,-747743.0021443723,-3048.681316056474,-6808191.394828288,99504768.44915877,0.0
2022-12-06,6703.552,0.19258510888762448,17.582417582417584,hold,0,0,0.0,1,-747661.4283354969,-3071.717776505852,-6740708.973434728,99504768.44915877,0.0
2022-12-07,6705.287,0.19019217726919688,15.217391304347828,hold,0,0,0.0,1,-751325.129807584,-3073.9870879937234,-6706673.1625613915,99504768.44915877,0.0
2022-12-08,6662.344,0.1884558159868473,12.903225806451612,hold,0,0,0.0,1,-740830.3684402935,-3151.082410381295,-6546862.181740701,99504768.44915877,0.0
2022-12-09,6680.375,0.1810322600151919,12.76595744680851,hold,0,0,0.0,1,-749796.6319442991,-3126.407515623746,-6559168.506882025,99504768.44915877,0.0
2022-12-12,6655.674,0.2068677351670899,34.73684210526316,hold,0,0,0.0,1,-750854.3521339253,-3185.1365549199313,-6367347.24559492,99504768.44915877,0.0
2022-12-13,6593.668,0.17469129563460234,10.416666666666668,hold,0,0,0.0,1,-731002.6326670698,-3295.9740365221696,-6133749.306580485,99504768.44915877,0.0
2022-12-14,6570.018,0.20980105097639318,39.175257731958766,hold,0,0,0.0,1,-724479.7122441177,-3342.196686017499,-6014345.931807355,99504768.44915877,0.0
2022-12-15,6597.551,0.18002394290736876,12.244897959183673,hold,0,0,0.0,1,-738289.7534636577,-3302.300932189165,-6063088.3341483725,99504768.44915877,0.0
2022-12-16,6519.436,0.1666879956727812,10.1010101010101,hold,0,0,0.0,1,-708522.8298829229,-3440.530605861759,-5755386.16018856,99504768.44915877,0.0
2022-12-19,6390.77,0.1857290732453566,16.0,hold,0,0,0.0,1,-654269.5090902894,-3673.9175394636477,-5139472.904045163,99504768.44915877,0.0
2022-12-20,6341.583,0.18399418739183043,15.841584158415841,hold,0,0,0.0,1,-630502.0336366241,-3760.069159328474,-4896491.123679362,99504768.44915877,0.0
2022-12-21,6289.136,0.18192680464087457,15.686274509803921,hold,0,0,0.0,1,-603638.0006948791,-3849.6753374298664,-4633981.018272946,99504768.44915877,0.0
2022-12-22,6186.928,0.19103484949792782,23.300970873786408,hold,0,0,0.0,1,-547438.6957389109,-4009.601796721062,-4153685.832829836,99504768.44915877,0.0
2022-12-23,6160.745,0.1982150252451131,27.884615384615387,hold,0,0,0.0,1,-532677.5226357328,-4055.5964488350583,-3994136.3319919454,99504768.44915877,0.0
2022-12-26,6275.524,0.18054565565256103,14.285714285714285,hold,0,0,0.0,1,-600433.8689954743,-3914.711344030339,-4341396.260835948,99504768.44915877,0.0
2022-12-27,6325.628,0.17192908845245408,10.377358490566039,hold,0,0,0.0,1,-630567.8086537619,-3846.171902539653,-4502990.283906931,99504768.44915877,0.0
2022-12-28,6268.466,0.16430520594061224,9.345794392523365,hold,0,0,0.0,1,-597717.4797532975,-3943.980926290982,-4215045.578487049,99504768.44915877,0.0
2022-12-29,6261.829,0.16770696119396047,11.11111111111111,hold,0,0,0.0,1,-594335.3403364602,-3963.504646167581,-4138141.957984795,99504768.44915877,0.0
2022-12-30,6281.621,0.16015001095425088,9.174311926605505,hold,0,0,0.0,1,-607086.9511596323,-3942.8333887118533,-4172735.4415380917,99504768.44915877,0.0
2023-01-03,6423.701,0.16601053752581554,10.909090909090908,hold,0,0,0.0,1,-699731.5666883248,-3751.67937118742,-4559671.485992302,99504768.44915877,0.0
2023-01-04,6421.277,0.15081816591323585,4.504504504504505,hold,0,0,0.0,1,-700125.4393127906,-3765.54759637054,-4499741.672073516,99504768.44915877,0.0
2023-01-05,6485.469,0.1562720452261154,9.821428571428571,hold,0,0,0.0,1,-741940.5517841537,-3664.159080051867,-4702260.497502858,99504768.44915877,0.0
